País	code	Bienestar (puntaje)	PIB	PIB (puntaje)	Producción	Producción (puntaje)	green-index
Estados Unidos	USA	7,5	65060	5,6	164100	10,0	8,4
Luxemburgo	LUX	7,5	115200	10,0	262	0,0	4,3
Noruega	NOR	8,2	82770	7,2	14217	0,9	4,3
Brasil 	BRA	4,4	9160	0,8	123451	7,5	5,2
Suiza	CHE	7,7	85160	7,4	0	0,0	3,8
Islandia	ISL	7,9	79270	6,9	5109	0,3	3,9
Canada	CAN	7,9	48600	4,2	50278	3,1	4,7
Irlanda	IRL	7,1	77160	6,7	1293	0,1	3,5
Alemania	DEU	7,1	49690	4,3	42183	2,6	4,3
Suecia	SWE	7,7	54140	4,7	18426	1,1	3,8
Dinamarca	DNK	7,8	62040	5,4	5927	0,4	3,6
Australia	AUS	8,0	57200	5,0	8907	0,5	3,7
Finlandia	FIN	7,7	50880	4,4	11191	0,7	3,5
Austria	AUT	6,9	52470	4,6	10036	0,6	3,3
Francia	FRA	6,6	43500	3,8	23926	1,5	3,5
Paises Bajos	NLD	7,7	54130	4,7	4060	0,2	3,4
Japon	JPN	5,7	41420	3,6	23482	1,4	3,1
Reino Unido	GB	7,1	42040	3,6	16992	1,0	3,4
Belgica	BEL	7,2	47530	4,1	4129	0,3	3,1
Italia	ITA	5,9	34780	3,0	26147	1,6	3,2
Nueva Zelanda	NZL	7,5	42010	3,6	8360	0,5	3,2
España	ESP	6,4	31910	2,8	16272	1,0	3,0
Israel	ISR	5,9	41560	3,6	558	0,0	2,5
Corea	PRK	5,1	32770	2,8	5912	0,4	2,3
Corea	KOR	5,1	32770	2,8	5912	0,4	2,3
Eslovenia	SVN	6,3	27510	2,4	1080	0,1	2,4
Republica Checa	CZE	6,0	24940	2,2	4466	0,3	2,4
Portugal	PRT	5,2	23730	2,1	4777	0,3	2,1
Estonia	EST	6,2	23650	2,1	914	0,1	2,3
Rusia	RUS	4,5	11460	1,0	19321	1,2	2,1
Chile	CHL	4,4	16280	1,4	10097	0,6	1,9
Republica Eslovaca	SVK	5,6	20600	1,8	0	0,0	2,0
Lituania	LTU	5,3	19880	1,7	1462	0,1	2,0
Grecia	GRC	4,3	20930	1,8	0	0,0	1,7
Leotonia	LVA	4,9	18460	1,6	0	0,0	1,8
Mexico	MEX	3,5	9870	0,9	15605	1,0	1,7
Hungria	HUN	5,0	16190	1,4	0	0,0	1,8
Polonia	POL	5,4	15310	1,3	0	0,0	1,9
Colombia	COL	3,7	7050	0,6	9652	0,6	1,5
Sudafrica 	ZAF	2,6	6610	0,6	13007	0,8	1,3
Turquia	TUR	4,2	7620	0,7	0	0,0	1,4
